ID,分类,英文原词,中文直译,CNSH建议命名,人话解释,文化出处,龍魂场景,CNSH用法示例,关联术语
DEVOPS-020,DevOps/运维层,health check,健康检查,问诊,定期检查服务是否活着——望闻问切,中医问诊·望闻问切·判断健康,服务问诊,问诊(哨站) → 🟢正常 / 🔴异常,"DEVOPS-011, DEVOPS-012"
WEB3-001,区块链/Web3层,blockchain,区块链,连环册,一块一块连起来的不可篡改账本——一页扣一页，撕不掉改不了,古代连环账册·页页相扣·不可拆散,审计连环册,连环册('龍魂审迹链'),"WEB3-002, WEB3-003"
WEB3-002,区块链/Web3层,block,区块,册页,链上的一页记录——连环册上的一页,连环册中的一页·有编号·有指纹,审计册页,"册页{序号: 100, 前页指纹: 'a3f...', 数据: ...}","WEB3-001, WEB3-003"
WEB3-003,区块链/Web3层,consensus,共识,合议,大家怎么达成一致——众人合议，一致为定,古代朝议·众臣合议·达成共识,分布式合议,合议(各节点) → 一致确认册页,"WEB3-001, WEB3-004, WEB3-005"
WEB3-004,区块链/Web3层,PoW,工作量证明,苦功证,算力竞争出块——谁出力多谁说了算,按劳分配·多劳多得,算力苦功证,苦功证(难题) → 解出者得册页权,"WEB3-003, WEB3-005"
WEB3-005,区块链/Web3层,PoS,权益证明,持券证,持币多的人出块概率大——谁券多谁话语权重,古代按地亩纳税·地多者权大,持券证,持券证(质押量) → 出册页权,"WEB3-003, WEB3-004"
WEB3-006,区块链/Web3层,smart contract,智能合约,自契,代码即法律，自动执行——自己会执行的契约,古代契约·一旦画押·自动生效,分成自契,自契('胖东来分成') → 自动分配,"WEB3-001, WEB3-009"
WEB3-007,区块链/Web3层,DApp,去中心化应用,无央应用,不依赖中心服务器的应用——没有中央，人人平等,大同世界·无中央集权,龍魂无央应用,无央应用('龍魂投票') — 不依赖中心,"WEB3-001, WEB3-008"
WEB3-008,区块链/Web3层,DAO,去中心化自治组织,合议社,代码治理的社区组织——众人合议，代码执行,古代乡约·众人合议·共同遵守,龍魂合议社,合议社('龍魂社区') — 代碼治理,"WEB3-007, WEB3-006"
WEB3-009,区块链/Web3层,NFT,非同质化代币,独契,独一无二的数字凭证——天下仅此一份,古代独一份的地契·独一无二,DNA独契,独契(DNA追溯码) — 唯一数字凭证,"WEB3-001, WEB3-006"
WEB3-010,区块链/Web3层,wallet,钱包,钱匣,存私钥、管资产——放钱的匣子,古代钱匣·存放银两和地契,龍魂钱匣,钱匣(暗钥) — 管资产,"WEB3-001, CRYPTO-008"
WEB3-011,区块链/Web3层,gas,燃料费,过路费,执行操作要付的手续费——此路是我开，留下买路财,古代过路费·过关交钱,链上过路费,自契.执行(过路费=0.01),"WEB3-001, WEB3-006"
WEB3-012,区块链/Web3层,mainnet,主网,正线,正式运行的区块链——正道直行,官道正线·正式通行的路,龍魂正线,正线('龍魂链') — 正式环境,WEB3-013
WEB3-013,区块链/Web3层,testnet,测试网,试线,用来测试的链——先走试线探路,试车线·先试后上,龍魂试线,试线('龍魂链') — 测试环境,WEB3-012
WEB3-014,区块链/Web3层,oracle,预言机,天听,把链外数据传入链内——上通天听，下达链上,古代天听·上传天意·下达人间,数据天听,天听(外部数据) → 自契,"WEB3-001, WEB3-006"
UI-001,前端/视觉层,DOM,文档对象模型,树形谱,网页的层级结构——家族树谱，层层嵌套,宗族树谱·层层分支·枝繁叶茂,页面树形谱,树形谱.查('#审迹面板'),"UI-002, UI-004"
UI-002,前端/视觉层,CSS,层叠样式表,妆奁,控制网页长什么样——女子的妆奁，决定面貌,古代女子妆奁·打扮用度·决定面貌,页面妆奁,"妆奁('.审迹面板', {色: '龍魂金'})","UI-001, UI-003"
UI-003,前端/视觉层,responsive design,响应式设计,随形,屏幕大小自适应——随形而变，大小皆宜,水随形容·不拘一格,多端随形,妆奁(随形: 真) — 手机/电脑自适应,"UI-002, UI-012"
UI-004,前端/视觉层,component,组件,构件,可复用的UI单元——标准构件，随取随用,古代建筑构件·斗拱·榫卯·标准可复用,界面构件,构件('审迹面板') — 可复用,"UI-005, UI-006"
UI-005,前端/视觉层,state,状态,态,组件当前的数据情况——此一时彼一时的状态,《易经》卦态·随时而变,组件态,"构件.态 = {加载: 真, 数据: [...]}","UI-004, UI-006"
UI-006,前端/视觉层,props,属性,传参,父组件传给子组件的数据——上命下达,古代传令·上命下达·参数传递,构件传参,"构件('审迹面板', 传参={数据: 审迹册})","UI-004, UI-005"
UI-007,前端/视觉层,event,事件,动静,用户操作或系统触发——风吹草动,风吹草动·一点动静触发反应,用户动静,"构件.监听(动静='点击', 处理=术)",UI-008
UI-008,前端/视觉层,listener,监听器,耳目,等着某个动静发生——安插耳目，静待动静,古代耳目·暗中监听·随时上报,动静耳目,"耳目('点击', 回响=审迹术)",UI-007
UI-009,前端/视觉层,render,渲染,显影,把代码变成可见的界面——让无形变有形,古代显影术·无形化有形,页面显影,显影(构件) → 可见界面,"UI-001, UI-004"
UI-010,前端/视觉层,hydration,注水,激活,静态HTML变成交互式——画龙点睛，注入灵魂,画龙点睛·一笔激活,页面激活,激活(静态HTML) → 可交互页面,"UI-009, UI-011"
UI-011,前端/视觉层,SSR,服务端渲染,先显,服务器先渲染好再发给浏览器——先给你看完整的,先入为主·先到先得,首屏先显,先显(页面) — 服务端先渲染,"UI-012, UI-009"
UI-012,前端/视觉层,CSR,客户端渲染,后显,浏览器自己渲染——到了再拼,后来者居上·到场再组装,交互后显,后显(页面) — 浏览器渲染,"UI-011, UI-009"
UI-013,前端/视觉层,SPA,单页应用,单屏,一个页面内切换内容——一屏到底，无需翻页,一屏画卷·一览无余,龍魂单屏,单屏('龍魂审迹') — 一页切换,"UI-004, UI-009"
UI-014,前端/视觉层,PWA,渐进式Web应用,近原生,可以像App一样用的网页——网页的身，App的心,近朱者赤·近原生者似原生,龍魂近原生,近原生('龍魂') — 离线可用·推送通知,UI-013
MEDIA-001,音频/多媒体层,sample rate,采样率,捕频,每秒采多少个点——一秒抓几次,捕快巡逻频率·越密越细,语音捕频,捕频(16000) — 每秒1.6万点,MEDIA-002
MEDIA-002,音频/多媒体层,bit depth,位深,精度,每个采样点用多少位存——存得越细，声音越真,工匠精度·毫厘之间见真章,音质精度,精度(16位) — 每个采样16位,MEDIA-001
MEDIA-003,音频/多媒体层,codec,编解码器,译音官,压缩/解压缩音频视频——翻译官，把大变小再把小变大,古代译官·两种语言互译,媒体译音官,译音官.压(原音) → 小文件,"MEDIA-001, MEDIA-002"
MEDIA-004,音频/多媒体层,FFT,快速傅里叶变换,频谱拆,把时域信号变频域——把时间轴拆成频率图,拆解之术·化整为零,声纹频谱拆,频谱拆(音频信号) → 频率分布,MEDIA-005
MEDIA-005,音频/多媒体层,MFCC,梅尔频率倒谱系数,声纹印,提取声音特征——每个人的声音指纹,声纹如指纹·人人不同,身份声纹印,声纹印(语音) → 声纹特征向量,MEDIA-004
MEDIA-006,音频/多媒体层,STT,语音转文字,听写,speech-to-text——听你说话，写下来,古代听写·你说我记,语音听写,听写(语音) → '你好世界',"MEDIA-007, MEDIA-008"
MEDIA-007,音频/多媒体层,TTS,文字转语音,播报,text-to-speech——把字读出来,古代说书人·把文字变成声音,龍魂播报,播报('审迹完成') → 语音,"MEDIA-006, MEDIA-008"
MEDIA-008,音频/多媒体层,ASR,自动语音识别,辨音,automatic speech recognition——机器听人话,辨音识人·听声辨意,实时辨音,辨音(实时语音流) → 文字流,MEDIA-006
MEDIA-009,音频/多媒体层,VAD,语音活动检测,有声判,判断有没有人在说话——有没有人在说,闻声判人·有声无声·一判即知,唤醒有声判,有声判(音频) → 真/假,"MEDIA-006, MEDIA-008"
MEDIA-010,音频/多媒体层,noise gate,噪声门,静音闸,低于阈值就静音——不够大声就闭嘴,水闸·水小不开,降噪静音闸,"静音闸(音频, 阈=-40dB)","MEDIA-009, MEDIA-011"
MEDIA-011,音频/多媒体层,normalization,归一化,平准,把数据缩到统一范围——拉平对齐,均田平准·拉平对齐·公平一致,音量平准,平准(音频) → 统一音量,MEDIA-010
AUDIT-001,审计/行为密码学层（龍魂专属）,audit trail,审计追踪,足迹链,所有操作的完整记录——每一步都有脚印,雪地足迹·每一步清晰可见,行为足迹链,"足迹链(用户9622) → [审迹, 签印, 归档]","AUDIT-002, AUDIT-004"
AUDIT-002,审计/行为密码学层（龍魂专属）,tamper-proof,防篡改,不可易,改了就能被发现——动了就留痕,《易经》「不易」——不可改变之道,档案不可易,不可易(审迹记录) — 篡改即现,"AUDIT-001, AUDIT-003"
AUDIT-003,审计/行为密码学层（龍魂专属）,non-repudiation,不可抵赖,不可翻,做了就不能不认——铁证如山，翻不了,铁案如山·翻不了案,行为不可翻,不可翻(印鉴) — 签名不可否认,"AUDIT-002, AUDIT-005"
AUDIT-004,审计/行为密码学层（龍魂专属）,provenance,溯源,来路,数据的完整来源历史——查来路，知根底,追本溯源·知其来路,数据来路,来路(数据) → [采集→处理→归档],"AUDIT-001, AUDIT-005"
AUDIT-005,审计/行为密码学层（龍魂专属）,attestation,证明,验身,验证某个声明为真——验明正身,古代验身·核验身份·确认无疑,身份验身,验身(声明) → 真/假,"AUDIT-003, AUDIT-004"
AUDIT-006,审计/行为密码学层（龍魂专属）,behavioral biometrics,行为生物特征,行为纹,打字节奏、鼠标轨迹等——每个人的行为指纹,笔迹·每人不同·行为如笔迹,七因子行为纹,行为纹(用户) → 七因子特征向量,"AUDIT-001, AUDIT-007"
AUDIT-007,审计/行为密码学层（龍魂专属）,entropy,熵,混沌度,系统的混乱/随机程度——越乱熵越高,盘古开天·混沌初开,密码混沌度,混沌度(密码) → 4.2位,"AUDIT-006, AI-010"
AUDIT-008,审计/行为密码学层（龍魂专属）,differential privacy,差分隐私,模糊盾,加噪声保护个体隐私——模糊处理，保护个体,雾里看花·模糊中保护,数据模糊盾,模糊盾(查询结果) → 加噪保护隐私,"AUDIT-009, AUDIT-010, CRYPTO-019"
AUDIT-009,审计/行为密码学层（龍魂专属）,federated learning,联邦学习,合练,数据不动，模型动——各自练，合起来更强,各自练兵·联合演习·不分彼此,分布式合练,合练(各节点模子) → 联合模子,"AUDIT-008, AI-002"
AUDIT-010,审计/行为密码学层（龍魂专属）,homomorphic encryption,同态加密,暗算,密文上直接计算——不见原文也能算,盲算·闭眼也能算·不见而知,隐私暗算,暗算(密文甲 + 密文乙) → 加密结果,"AUDIT-008, CRYPTO-001"
